Rank,Platform,Total_Score
1,Aurea,301.5333333333333
2,Google AppSheet,478.26666666666665
3,OutSystems,510.6666666666667
4,Zoho Creator,531.5333333333333
5,Microsoft Power Apps,562.0
6,Mendix,718.7333333333333
